"admin2Pcod","mesas_informadas","mesas_instaladas","personas_habilitadas","votos_validos","votos_no_marcados","votos_nulos","votos_si","votos_no"
"CO68861",42,42,16435,5996,37,160,3254,2742
"CO68867",4,4,1466,568,2,10,92,476
"CO68872",15,15,6336,2339,16,34,912,1427
"CO68895",18,18,7366,2547,22,51,984,1563
"CO70001",446,446,195898,68896,722,771,37461,31435
"CO70110",22,22,9619,3180,48,22,2187,993
"CO70124",25,25,8757,2749,41,24,2126,623
"CO70204",17,17,6755,2321,27,26,1628,693
"CO70215",107,107,45886,17880,120,206,10907,6973
"CO70221",27,27,10921,3833,24,41,1918,1915
"CO70230",11,11,4403,1335,40,19,869,466
"CO70233",24,24,7694,2871,19,22,2238,633
"CO70235",39,39,15770,5220,61,51,2181,3039
"CO70265",33,33,12792,3512,24,48,1811,1701
"CO70400",25,25,9408,2928,37,18,2329,599
"CO70418",43,43,17591,7530,65,66,5779,1751
"CO70429",73,73,26077,6792,85,52,3935,2857
"CO70473",33,33,12813,5075,46,101,3322,1753
"CO70508",51,51,20135,7347,65,58,5328,2019
"CO70523",26,26,9642,3334,31,29,2323,1011
"CO70670",78,78,30974,11412,126,170,6816,4596
"CO70678",53,53,18505,5377,62,46,3460,1917
"CO70702",27,27,11225,4467,28,39,3185,1282
"CO70708",103,103,42745,11094,122,165,7058,4036
"CO70713",105,105,40959,10220,117,121,7973,2247
"CO70717",38,38,16284,5795,62,38,3759,2036
"CO70742",63,63,25579,8963,82,112,5470,3493
"CO70771",65,65,20688,5559,59,52,3100,2459
"CO70820",54,54,22816,7727,54,89,5427,2300
"CO70823",45,45,17811,7287,74,63,5227,2060
"CO73001",889,889,392554,179659,656,2184,70780,108879
"CO73024",12,12,3725,1457,14,46,452,1005
"CO73026",22,22,8422,2727,24,36,1312,1415
"CO73030",19,19,6922,2342,14,47,1216,1126
"CO73043",19,19,7462,2269,51,42,693,1576
"CO73055",25,25,10172,3470,30,68,1794,1676
"CO73067",42,42,14957,5109,75,68,1658,3451
"CO73124",38,38,16190,5907,54,85,1823,4084
"CO73148",20,20,8453,3460,12,34,1218,2242
"CO73152",13,13,4940,1875,29,22,922,953
"CO73168",83,83,38101,12170,174,172,5476,6694
"CO73200",21,21,7709,2645,22,34,1488,1157
"CO73217",41,41,17192,5485,119,81,3404,2081
"CO73226",19,19,7208,2591,26,31,1075,1516
"CO73236",19,19,6729,2672,35,52,1109,1563
"CO73268",134,134,58148,23011,111,324,8388,14623
"CO73270",14,14,5702,2142,36,52,1147,995
"CO73275",39,39,17194,6567,38,88,2373,4194
"CO73283",68,68,26101,8283,100,183,2741,5542
"CO73319",63,63,25766,8825,75,114,3042,5783
"CO73347",17,17,5922,1852,40,40,724,1128
"CO73349",49,49,23027,8337,62,150,3549,4788
"CO73352",22,22,8395,2833,30,49,1498,1335
"CO73408",38,38,15269,5560,28,77,2748,2812
"CO73411",72,72,32895,10396,145,226,5158,5238
"CO73443",68,68,28817,10847,80,217,4570,6277
