"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
0,900,20,457,0,34,0,14,51,NA,NA,140,0,15,15,5,"CO13212",117.928571428571
0,0,0,107,47,28,23,NA,1,3,NA,19,18,11,15,6,"CO13222",19.8571428571429
6301,8525,2960,981,2716,903,844,949,187,116,44,295,8,245,169,32,"CO13244",1579.6875
0,0,0,0,0,0,0,14,8,0,NA,27,0,6,13,2,"CO13248",4.66666666666667
0,0,0,0,5,0,0,NA,0,4,NA,26,1,14,14,7,"CO13268",5.07142857142857
32,0,0,0,0,0,0,NA,0,0,NA,17,0,15,5,1,"CO13300",5
2038,350,3490,1004,578,399,740,50,320,810,1644,1996,1411,239,187,43,"CO13430",956.1875
448,195,526,0,23,3,0,NA,17,11,NA,19,26,12,5,1,"CO13433",91.8571428571429
0,0,0,0,0,0,0,NA,0,NA,NA,14,0,15,15,14,"CO13440",4.46153846153846
1111,1750,51,37,319,987,275,39,241,198,45,182,4,82,88,16,"CO13442",339.0625
240,850,15,26,0,56,100,NA,193,27,2,159,26,444,1042,70,"CO13458",216.666666666667
37,47,40,0,0,5,0,NA,5,22,NA,129,6,51,55,21,"CO13468",29.8571428571429
819,1372,90,547,244,356,119,NA,80,107,41,306,20,157,155,53,"CO13473",297.733333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,78,190,28,"CO13490",65.4
90,0,0,0,32,0,0,NA,0,NA,13,286,21,60,136,39,"CO13549",48.3571428571429
0,0,20,0,0,45,39,NA,19,16,NA,32,0,5,27,2,"CO13580",14.6428571428571
0,434,85,115,112,43,0,NA,84,22,15,67,133,60,54,12,"CO13600",82.4
0,0,0,0,0,10,0,NA,7,0,NA,13,0,4,8,0,"CO13620",3
0,0,108,0,482,3,0,NA,4,0,NA,16,0,0,3,0,"CO13647",44
0,0,0,0,0,0,0,NA,0,0,NA,18,0,15,1,10,"CO13650",3.14285714285714
5020,475,383,0,139,160,44,8,23,0,NA,109,2,76,40,1,"CO13654",432
0,0,0,0,0,8,63,NA,0,3,NA,134,13,76,14,5,"CO13655",22.5714285714286
1561,785,189,1422,1,250,210,2648,206,12,21,59,24,47,22,7,"CO13657",466.5
201,50,0,0,0,19,31,NA,2,NA,NA,129,30,115,47,25,"CO13667",49.9230769230769
2448,1490,2765,1010,422,540,544,NA,773,1572,1846,1040,904,584,503,97,"CO13670",1102.53333333333
0,0,0,0,0,10,0,NA,0,0,NA,9,0,0,10,1,"CO13673",2.14285714285714
0,3072,1772,0,181,77,236,NA,155,151,163,234,10,345,457,76,"CO13683",461.933333333333
431,0,420,793,54,91,121,1000,698,1256,651,478,336,640,456,140,"CO13688",472.8125
987,162,88,94,13,26,5,NA,74,126,78,344,91,141,218,22,"CO13744",164.6
0,0,0,0,0,0,21,NA,0,0,NA,6,0,0,0,7,"CO13760",2.42857142857143
0,0,0,0,0,5,0,NA,0,NA,NA,19,0,7,13,0,"CO13780",3.38461538461538
2162,50,80,0,0,66,376,NA,17,40,16,200,18,427,458,58,"CO13810",264.533333333333
310,1136,1043,130,65,226,173,NA,57,96,81,37,38,63,26,14,"CO13836",233
0,0,0,0,0,7,0,NA,2,3,NA,3,0,18,13,4,"CO13838",3.57142857142857
0,130,333,87,9,124,10,NA,19,NA,6,63,1,11,18,4,"CO13873",58.2142857142857
710,230,495,47,81,42,8,NA,0,112,297,127,3,31,11,9,"CO13894",146.866666666667
655,920,893,500,194,370,418,530,532,98,105,236,94,3,3,14,"CO15001",347.8125
0,0,0,0,0,0,0,NA,0,0,NA,4,0,0,0,0,"CO15022",0.285714285714286
0,0,14,6,167,30,27,NA,6,1,4,18,6,25,13,7,"CO15047",21.6
0,0,0,0,6,27,0,12,4,13,NA,0,2,0,0,0,"CO15051",4.26666666666667
0,0,0,0,0,0,15,NA,11,NA,3,0,8,4,1,3,"CO15087",3.21428571428571
0,0,35,0,0,5,0,13,3,0,8,0,9,5,0,0,"CO15090",4.875
0,0,0,0,0,4,0,NA,3,0,NA,0,0,0,0,0,"CO15092",0.5
0,0,0,0,0,0,0,9,0,0,NA,4,0,0,0,0,"CO15097",0.866666666666667
0,0,0,0,0,0,0,10,0,11,6,18,0,3,15,0,"CO15104",3.9375
0,0,0,0,0,0,0,NA,0,6,NA,3,0,0,0,7,"CO15106",1.14285714285714
0,0,20,11,1,6,0,12,2,12,5,0,2,0,0,0,"CO15109",4.4375
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15114",0
0,0,0,0,0,0,0,NA,0,0,NA,0,0,5,0,0,"CO15131",0.357142857142857
0,0,20,82,0,0,0,NA,9,0,NA,8,0,5,1,0,"CO15135",8.92857142857143
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,1,0,"CO15162",0.0714285714285714
0,0,0,35,7,0,12,NA,13,0,NA,0,0,0,0,0,"CO15172",4.78571428571429
0,49,25,128,6,67,68,153,218,98,50,22,63,7,5,4,"CO15176",60.1875
0,0,0,0,0,0,0,NA,0,0,NA,0,0,11,5,5,"CO15180",1.5
0,0,0,0,11,7,19,28,11,13,12,25,4,29,20,0,"CO15183",11.1875
0,0,0,0,8,0,0,NA,13,4,12,28,0,5,4,1,"CO15185",5
