DIVIPOLA,DEPARTAMENTO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15377,BOYACA,LABRANZAGRANDE,46,0,0,0,0,22,31,6,17,,,14,10,20,29,10
15380,BOYACA,LA CAPILLA,0,0,0,0,0,0,0,,0,0,,0,3,0,0,0
15401,BOYACA,LA VICTORIA,0,0,0,0,0,3,0,,0,2,,1,0,0,0,0
15403,BOYACA,LA UVITA,15,570,330,0,0,3,0,,0,1,,17,0,0,0,0
15407,BOYACA,VILLA DE LEYVA,0,0,27,0,0,0,0,24,2,6,16,0,11,0,0,0
15425,BOYACA,MACANAL,0,0,14,13,6,0,23,,1,,2,1,11,4,0,0
15442,BOYACA,MARIPI,0,0,0,0,0,0,0,,11,,,44,1,19,6,2
15455,BOYACA,MIRAFLORES,0,0,20,15,6,12,47,27,36,24,26,19,0,17,2,0
15464,BOYACA,MONGUA,0,0,15,0,0,71,18,,0,2,,16,0,11,5,0
15466,BOYACA,MONGUI,0,0,0,0,0,0,0,,9,0,,0,0,0,0,0
15469,BOYACA,MONIQUIRA,0,0,28,54,8,30,18,6,3,57,22,16,8,0,0,0
15476,BOYACA,MOTAVITA,0,0,0,0,6,8,0,,0,0,,0,0,0,0,0
15480,BOYACA,MUZO,0,0,10,15,8,35,15,42,25,6,,22,7,27,13,7
15491,BOYACA,NOBSA,0,0,0,0,5,30,27,,37,12,13,0,20,0,0,0
15494,BOYACA,NUEVO COLON,0,0,0,0,0,0,9,,10,0,,4,0,0,0,0
15500,BOYACA,OICATA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15507,BOYACA,OTANCHE,0,78,16,108,0,23,38,77,0,40,12,53,4,13,74,16
15511,BOYACA,PACHAVITA,0,0,0,0,3,3,0,,0,0,,0,0,0,0,0
15514,BOYACA,PAEZ,0,0,18,22,8,0,56,,5,,,4,2,11,0,0
15516,BOYACA,PAIPA,0,0,84,36,26,76,73,50,33,38,53,1,18,3,0,0
15518,BOYACA,PAJARITO,25,0,367,16,110,30,0,,4,0,,14,0,32,14,6
15522,BOYACA,PANQUEBA,22,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15531,BOYACA,PAUNA,0,0,27,0,0,0,12,13,5,6,,25,3,0,11,6
15533,BOYACA,PAYA,34,0,0,0,0,48,0,,0,12,8,6,0,11,10,9
15537,BOYACA,PAZ DE RIO,0,0,0,0,17,0,0,,0,0,,0,0,0,0,0
15542,BOYACA,PESCA,0,0,0,6,0,67,0,,0,6,3,1,1,1,12,0
15550,BOYACA,PISBA,33,0,0,0,0,0,0,,0,0,,4,0,1,7,8
